idx,city,country,iso3,capital,lat,lng,admin_name,population
45176,Bersenbrück,Germany,DEU,,52.5333,7.9167,Lower Saxony,8850.0
45202,Volkach,Germany,DEU,,49.8667,10.2167,Bavaria,8843.0
45214,Naunhof,Germany,DEU,,51.2778,12.5883,Saxony,8839.0
45230,Steinheim am Albuch,Germany,DEU,,48.6922,10.0642,Baden-Württemberg,8834.0
45247,Heek,Germany,DEU,,52.1167,7.0997,North Rhine-Westphalia,8830.0
45252,Kressbronn am Bodensee,Germany,DEU,,47.5958,9.6,Baden-Württemberg,8829.0
45259,Memmelsdorf,Germany,DEU,,49.9328,10.9533,Bavaria,8827.0
45317,Mühlhausen,Germany,DEU,,49.2475,8.7239,Baden-Württemberg,8808.0
45340,Obernburg am Main,Germany,DEU,,49.84,9.1414,Bavaria,8801.0
45364,Ballenstedt,Germany,DEU,,51.72,11.2375,Saxony-Anhalt,8794.0
45409,Lienen,Germany,DEU,,52.1461,7.9739,North Rhine-Westphalia,8783.0
45423,Waldenbuch,Germany,DEU,,48.6372,9.1317,Baden-Württemberg,8779.0
45428,Garching an der Alz,Germany,DEU,,48.1167,12.5833,Bavaria,8778.0
45431,Barth,Germany,DEU,,54.3667,12.7167,Mecklenburg-Western Pomerania,8777.0
45448,Efringen-Kirchen,Germany,DEU,,47.6556,7.5658,Baden-Württemberg,8773.0
45474,Großenlüder,Germany,DEU,,50.5833,9.5333,Hesse,8765.0
45490,Borgentreich,Germany,DEU,,51.5667,9.25,North Rhine-Westphalia,8761.0
45499,Ottobeuren,Germany,DEU,,47.9414,10.2994,Bavaria,8758.0
45506,Vohburg an der Donau,Germany,DEU,,48.7667,11.6167,Bavaria,8756.0
45540,Sonsbeck,Germany,DEU,,51.6089,6.3769,North Rhine-Westphalia,8747.0
45556,Biederitz,Germany,DEU,,52.1608,11.7178,Saxony-Anhalt,8744.0
45584,Meßkirch,Germany,DEU,,47.9928,9.1125,Baden-Württemberg,8737.0
45590,Rauenberg,Germany,DEU,,49.2678,8.7036,Baden-Württemberg,8736.0
45604,Bad Bergzabern,Germany,DEU,,49.1028,7.9991,Rhineland-Palatinate,8732.0
45605,Löwenberg,Germany,DEU,,52.8833,13.15,Brandenburg,8732.0
45608,Herzberg,Germany,DEU,minor,51.6833,13.2333,Brandenburg,8731.0
45610,Obertraubling,Germany,DEU,,48.9658,12.1669,Bavaria,8729.0
45617,Roetgen,Germany,DEU,,50.65,6.2,North Rhine-Westphalia,8727.0
45696,Richterich,Germany,DEU,,50.8086,6.0625,North Rhine-Westphalia,8701.0
45736,Wietze,Germany,DEU,,52.65,9.8333,Lower Saxony,8691.0
45739,Ergoldsbach,Germany,DEU,,48.6833,12.2,Bavaria,8690.0
45744,Heikendorf,Germany,DEU,,54.3722,10.2081,Schleswig-Holstein,8688.0
45755,Titz,Germany,DEU,,51.0061,6.4242,North Rhine-Westphalia,8686.0
45799,Flieden,Germany,DEU,,50.4167,9.5667,Hesse,8673.0
45815,Nörten-Hardenberg,Germany,DEU,,51.6167,9.9333,Lower Saxony,8669.0
45825,Meine,Germany,DEU,,52.3833,10.5333,Lower Saxony,8667.0
45860,Tirschenreuth,Germany,DEU,minor,49.8833,12.3333,Bavaria,8655.0
45873,Untergruppenbach,Germany,DEU,,49.0833,9.2667,Baden-Württemberg,8651.0
45893,Timmendorfer Strand,Germany,DEU,,53.9944,10.7825,Schleswig-Holstein,8646.0
45915,Budenheim,Germany,DEU,,50.0167,8.1667,Rhineland-Palatinate,8639.0
45922,Niederwerrn,Germany,DEU,,50.0633,10.1728,Bavaria,8636.0
45969,Beutelsbach,Germany,DEU,,48.8,9.3833,Baden-Württemberg,8622.0
45970,Sande,Germany,DEU,,53.4833,8.0,Lower Saxony,8622.0
45974,Nierstein,Germany,DEU,,49.8694,8.3375,Rhineland-Palatinate,8621.0
46009,Barntrup,Germany,DEU,,51.9831,9.1167,North Rhine-Westphalia,8611.0
46017,Kappeln,Germany,DEU,,54.6614,9.9311,Schleswig-Holstein,8607.0
46040,Schwarzenbruck,Germany,DEU,,49.35,11.2333,Bavaria,8600.0
46047,Ueckermünde,Germany,DEU,,53.7389,14.0444,Mecklenburg-Western Pomerania,8598.0
46049,Bad Rothenfelde,Germany,DEU,,52.1117,8.1606,Lower Saxony,8597.0
46070,Haibach,Germany,DEU,,49.9675,9.1969,Bavaria,8592.0
46098,Viechtach,Germany,DEU,,49.0792,12.8847,Bavaria,8585.0
46106,Heroldsberg,Germany,DEU,,49.5333,11.15,Bavaria,8582.0
